id_solicitacao,assunto,tipo_solicitacao,cliente,categoria,subcategoria,produto,equipe_solicitante,equipe_proprietaria,status,dt_criacao,dt_fechamento,prazo_resolucao,priorizacao,severidade,descrição,subproduto,conclusao,pontos_de_melhoria
267648,BRADESCO | Autorize - Negativa N434,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/06/2021 13:05,01/07/2021 10:09,11/01/2021 13:05,0,3,DIAGNÓSTICO : Aplicação da N434\r\n \r\nAÇÃO: Realizamos análise do horário do processamento da carga e identificamos que a transação foi realizada antes.\r\n \r\nTransação gerada em : 22/12 - 16:11\r\nProcessamento da carga: 22/12 após às 18:34\r\n \r\nCAUSA: Negativa aplicada corretamente.,AUTORIZE - NEGATIVAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267666,CASSI - Andréa - [544834] - Erro na regra de bloqueio - exceção,Incidente,CASSI,Ocorrência,Falha Sistêmica,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/06/2021 15:27,01/11/2021 16:14,17/02/2021 15:54,0,3,DIAGNÓSTICO: Aplicação da regra 1168.\r\n \r\nAÇÃO: Gerada demanda Lean para correção.\r\nLean encerrada pela conclusão com sucesso da mudança 13671 em 10/02/2021.\r\n \r\nCAUSA: Regra aplicada indevidamente.,FATURE - REGRAS,AJUSTE DEV,0
267687,BRADESCO | N -17 - 89513,Requisição de Serviço,BRADESCO,Solicitação de Informação,Dados de Tabelas,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/06/2021 18:16,01/07/2021 09:52,13/01/2021 16:15,0,3,Diagnostico: negativa aplicada pois o a rede 00184 do prestador de cartão 0000738042 não pode atender o usuário de carteirinha 954030064050000 \r\n \r\nAção: analisar aplicação da negativa\r\n \r\nCausa: não há,AUTORIZE - NEGATIVAS,TRATATIVA MIDDLEWARE,0
267707,BRADESCO | Autorize - N-18,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/07/2021 07:41,01/07/2021 09:46,12/01/2021 08:00,0,3,"DIAGNÓSTICO : negativa aplicada pois, apesar do prestador ter o código contratualizado, não esta autorizado a transacionar este procedimento (campo pct_autorizado = N).\r\n \r\nAÇÃO: analisar aplicação da negativa \r\n \r\nCAUSA: não há",AUTORIZE - NEGATIVAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267709,BRADESCO | AUTORIZE - N-279 - Prestador não autorizado a realizar esse tipo de atendimento #89578,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/07/2021 08:16,01/07/2021 09:56,14/01/2021 16:04,0,3,DIAGNÓSTICO : As transações foram negada pois a matricula utilizada pelo prestador nao foi localizada na tabela pcc para o tipo 4\r\n \r\nAÇÃO: Analisar transações\r\n \r\nCAUSA: não há,AUTORIZE - NEGATIVAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267751,"CABESP | Monitoramento Fature Premium_ ""xml"" DAC Indisponível",Incidente,CABESP,Ocorrência,Divergência de Funcionalidade,FATURE PREMIUM,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/07/2021 12:13,01/07/2021 13:47,12/01/2021 12:13,0,3,DIAGNÓSTICO: Não foi possível reproduzir o erro.\r\n \r\nAÇÃO:\r\nXmL reprocessado e disponível\r\n \r\nCAUSA:\r\nNão identificada.\r\nNão foi possível reprodução do problema.,FATURE PREMIUM - DEMONSTRATIVOS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267767,CABESP | ACESSO BPO,Incidente,CABESP,Ocorrência,Divergência de Funcionalidade,BPO,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/07/2021 14:35,01/08/2021 09:16,12/01/2021 14:35,0,3,DIAGNÓSTICO: Sistema OK.\r\n \r\nAÇÃO:\r\nNenhuma.\r\n \r\nCAUSA:\r\nO Login criado não está sendo vinculado a um grupo de acesso que deve ser efetuado dentro do BPO.\r\n \r\nChecar como efetuar estas tarefas junto as equipes Operacionais.,BPO - CABESP,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267818,Fwd: guia incompleta- internação- Bradesco,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,FATURE,BPO,Suporte Aplicação (Middleware),Fechado,01/08/2021 08:47,01/26/2021 13:05,13/01/2021 08:47,0,3,"DIAGNÓSTICO: Impossibilidade de reproduzir o erro. \r\n \r\nAÇÃO: Realizamos a reprodução do cenário informado, porém não identificamos inconsistências, conforme anexo.\r\n \r\nCAUSA: Impossibilidade de reproduzir o erro.",FATURE - PORTAL,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267823,Re: [SIAD] Relatório Diário de Erros - ORIZON - 07/01/2021,Requisição de Serviço,BRADESCO,Análise de Envio de Imagens,Log de Envio,FATURE IMAGEM,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/08/2021 09:07,01/08/2021 09:31,13/01/2021 09:07,0,3,"Sistema está operando normalmente.\r\n \r\nO Lote foi recepcionado no BPO em 16/12/2020 e foi cancelado no Fature em 17/12/2020. \r\n \r\nSUGESTÃO: A rotina do processo de cancelamento no Fature (colaborador), precisa checar se o lote foi recebido no BPO e solicitar a Equipe que devolva o lote ao prestador,",FATURE IMAGEM - ENVIO DE IMAGENS,TRATATIVA MIDDLEWARE,0
267836,Fwd: fature imagem- falha na comunicação,Incidente,ORIZON,Ocorrência,Falha Sistêmica,FATURE IMAGEM,BPO,Suporte Aplicação (Middleware),Fechado,01/08/2021 09:51,01/08/2021 13:46,13/01/2021 09:51,0,3,DIAGNÓSTICO: Sistemas apresentam problemas relacionado ao envio de imagens.\r\n \r\nAÇÃO:\r\nOctane: 30519 | Inc: 266046 - FATURE IMAGEM - Bradesco | Problemas ao anexar imagem\r\nLEAN: 1864 | Inc: 264506 – 266931 -  Falha na comunicação- Fature Imagem \r\n \r\nCAUSA:\r\nLote já foi empacotado.\r\nLembramos que lot,FATURE IMAGEM - ANEXADOR DE IMAGENS,AJUSTE DEV,0
267859,Life | Monitoramento de lotes,Incidente,LIFE EMPRESARIAL,Ocorrência,Divergência de Funcionalidade,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/08/2021 12:12,01/08/2021 13:26,13/01/2021 12:12,0,3,"DIAGNÓSTICO: Sistema OK. Entrega foi efetuada com sucesso sem erro sistêmico na Orizon.\r\n \r\nAÇÃO:\r\nNenhuma.\r\n \r\nCAUSA:\r\nCaros,\r\n \r\nCompreendam que, a partir do momento que eu recebo da Operadora um protocolo de retorno, quer dizer que minha entrega ocorreu. Analisar a crítica / retorno da Operadora",FATURE - EXPORTAÇÃO DE LOTES,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267866,Fwd: anexo de imagem- autorizador,Incidente,ORIZON,Ocorrência,Divergência de Funcionalidade,AUTORIZE,BPO,Suporte Aplicação (Middleware),Fechado,01/08/2021 14:12,01/18/2021 08:50,29/01/2021 11:54,0,3,"DIAGNÓSTICO:  Impossibilidade de reproduzir o erro.\r\n \r\nAÇÃO: Realizamos testes referente ao caso mencionado e as imagens foram anexadas com sucesso.\r\nInformado à solicitante seguir os passos abaixo em 18/01/21. \r\n \r\nSolicitamos avaliar:\r\n \r\n-  Permissões internas: Confirmação de contato com a T.I,",AUTORIZE - ORIZON ONLINE,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267883,VERIFICAÇÃO DE FASE SCANNER,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,BPO,BPO,Suporte Aplicação (Middleware),Fechado,01/08/2021 16:59,01/11/2021 08:57,13/01/2021 16:59,0,3,"DIAGNÓSTICO\AÇÃO: Projeto Nuveo está em fase de implantação, ou seja, não está oficialmente em ambiente produtivo.\r\nPeço por gentileza procurar os responsáveis pela implantação do Projeto.",BPO - BRADESCO,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267886,BRADESCO | Aplicação da crítica 10017 - Falha no Envio Plataforma Web #89733,Requisição de Serviço,BRADESCO,Consultoria sobre Funcionalidades,Validação de funcionalidade,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/08/2021 18:39,01/11/2021 09:26,14/01/2021 08:00,0,3,"Arquivo possui erros de estrutura.\r\n \r\nPassamos o arquivo no validador Orizon.\r\n \r\nSegue retorno:\r\n \r\nA linha: 1, Posição: 276, Erro - The element 'identificacaoTransacao' has invalid child element 'dataRegistroTransacao'. List of possible elements expected: 'sequencialTransacao'.\r\nA linha: 1, Posiç",FATURE - REGRAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
267976,Bradesco I Autorize - N 24 Procedimento não pertence a senha informada| 22485085001230,Incidente,BRADESCO,Ocorrência,Falha Sistêmica,AUTORIZE,BACKOFFICE PRESTADORES,Suporte Aplicação (Middleware),Fechado,01/11/2021 09:27,01/11/2021 13:01,14/01/2021 09:27,0,3,"DIAGNÓSTICO: Senha cancelada. \r\n \r\nAÇÃO: Conforme análise, a senha informada se encontra cancelada em banco.\r\nSugerimos orientar o prestador a acionar a Operadora, conforme conversado com a gestora da conta na Orizon.\r\n \r\nCAUSA: Senha cancelada.",AUTORIZE - NEGATIVAS,TRATATIVA MIDDLEWARE,0
267991,Webservice_ 375 - Cartao invalido,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,AUTORIZE,BACKOFFICE PRESTADORES,Suporte Aplicação (Middleware),Fechado,01/11/2021 10:25,01/12/2021 13:56,14/01/2021 10:25,0,3,"DIAGNÓSTICO: Regra aplicada corretamente.\r\n \r\nAÇÃO:\r\nNenhuma.\r\n \r\nCAUSA:\r\nTrilha do cartão enviada no formato incorreto.\r\n \r\nPara transacionar, o prestador usa um leitor de cartão.\r\nO site da Orizon, faz a devida leitura e tratamento dos dados corretos.\r\n \r\nNo WebService esse tratamento dos dados é",AUTORIZE - WEBSERVICE,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268045,BRADESCO |Fature - crítica 1166,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/11/2021 12:52,01/11/2021 13:55,14/01/2021 12:52,0,3,"DIAGNÓSTICO : Aplicação da regra 1166.\r\n \r\nAÇÃO: Conforme análise, o prestador não consta habilitado para PS.\r\n \r\nBanco:\r\n \r\nID_POLIMED_PRS\r\nCOD_EMS\r\nCOD_PRESTADOR\r\nSTATUS_PRESTADOR\r\nQTD_RETORNO\r\nTIPO_ATENDIMENTO\r\nHORA_INI_ATEND\r\nHORA_FIM_ATEND\r\nTIPO_RETORNO\r\nFOR_RETORNO\r\n18120479\r\n571\r\n366510\r\nA\r\n0",FATURE - REGRAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268067,AFRESP_TRANSAÇÃO CANCELADA_A+,Incidente,AFRESP,Ocorrência,Erro Conhecido,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/11/2021 15:12,01/12/2021 09:18,14/01/2021 15:12,0,3,"DIAGNÓSTICO: Transação cancelada.\r\n \r\nAÇÃO: Conforme análise de banco, a transação 876394 se encontra cancelada.\r\n \r\nCAUSA: Seu status foi alterado após cancelamento via webservice.",AUTORIZE - WEBSERVICE,TRATATIVA MIDDLEWARE,0
268113,Erro ao gerar GRD,Incidente,CABESP,Ocorrência,Falha Sistêmica,FATURE,BPO,Suporte Aplicação (Middleware),Fechado,01/11/2021 16:30,01/11/2021 16:46,14/01/2021 16:30,0,3,"Caros,\r\nBom dia\r\n \r\nO Lote 77170236 ao qual o processo se refere está CANCELADO no Fature e, por isso a GRD não é impressa.",FATURE - PORTAL,TRATATIVA MIDDLEWARE,0
268116,Fwd: Fature imagem - falha na comunicação,Incidente,ORIZON,Ocorrência,Falha Sistêmica,FATURE IMAGEM,BPO,Suporte Aplicação (Middleware),Fechado,01/11/2021 16:52,01/12/2021 12:17,14/01/2021 16:52,0,3,DIAGNÓSTICO: Falha no momento de tentar transmitir imagens ao lote.\r\n \r\nAÇÃO:\r\nJá há dois processos abertos para tratar o caso.\r\nOctane: 30519 | Inc: 266046 - FATURE IMAGEM - Bradesco | Problemas ao anexar imagem\r\nLean: 1864 | Inc: 264506 – 266931 -  Falha na comunicação- Fature Imagem \r\n \r\nCAUSA:,FATURE IMAGEM - ANEXADOR DE IMAGENS,AJUSTE DEV,0
268125,CASSI - REGRA 1161 - ICCA - INSTITUTO CRISTAO DE CARDIOLOGIA DO AMAPA,Requisição de Serviço,CASSI,Consultoria sobre Funcionalidades,Dúvida sobre funcionalidade,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/11/2021 17:59,01/12/2021 11:18,20/01/2021 17:58,0,3,"DIAGNÓSTICO: Aplicação indevida da regra 1161.\r\n \r\nAÇÃO: Conforme retorno de Análise de negócios, existe uma implementação sendo homologada para a regra em questão onde a situação mencionada será também corrigida.\r\nLean 1856.\r\n \r\nCAUSA: Regra aplicada indevidamente, porém está em andamento no Lean m",FATURE - REGRAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268135,SULAMÉRICA | Validação de carteirinha na Base.,Requisição de Serviço,SULAMERICA,Solicitação de Informação,Dados de Tabelas,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/12/2021 03:39,01/12/2021 07:59,15/01/2021 08:00,0,3,"Karina,\r\nBom dia.\r\n \r\nOs beneficiários não constam no banco de dados.",FATURE - PROCESSAMENTO DE CARGAS,TRATATIVA MIDDLEWARE,0
268208,CABESP | Monitoramento Fature_Lotes Exportados_Arquivo com erro,Incidente,CABESP,Ocorrência,Divergência de Funcionalidade,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/12/2021 15:15,01/13/2021 14:13,15/01/2021 15:15,0,3,DIAGNÓSTICO: Erro de digitação.\r\n \r\nAÇÃO: Necessário redigitar o lote mencionado. \r\n \r\nCAUSA: Falha operacional.,FATURE - EXPORTAÇÃO DE LOTES,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268219,CABESP | Monitoramento Fature Premium_ Demonstrativos_xml de DACs Indispníveis,Incidente,CABESP,Ocorrência,Divergência de Funcionalidade,FATURE PREMIUM,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/12/2021 16:36,01/13/2021 11:12,15/01/2021 16:36,0,3,"DIAGNÓSTICO: Arquivo não disponível.\r\n \r\nAÇÃO: DAC reprocessado.\r\n \r\nCAUSA: DAC na pasta processando, impedindo a visualização pelo prestador.",FATURE PREMIUM - DEMONSTRATIVOS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268228,Autorize - Negativa 33 - Mediservice,Incidente,MEDISERVICE,Ocorrência,Falha Serviço Externo,AUTORIZE,BPO,Suporte Aplicação (Middleware),Fechado,01/12/2021 17:57,01/13/2021 09:11,15/01/2021 17:57,0,3,DIAGNÓSTICO : Negativa apresentada devido ao processamento da carga enviada pela operadora. A carga corrigida já foi enviada pela operadora e esta sendo processada para correção do problema. \r\n \r\nAÇÃO: analisar ambiente\r\n \r\nCAUSA: processamento de carga enviada pela operadora,AUTORIZE - PROCESSAMENTO DE CARGAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268301,Re: Autorize - Negativa 33 - Mediservice,Incidente,ORIZON,Ocorrência,Falha Sistêmica,AUTORIZE,BPO,Suporte Aplicação (Middleware),Fechado,01/13/2021 08:21,,18/01/2021 08:21,0,3,DIAGNÓSTICO\AÇÃO: Fechando como uma entrada duplicada do incidente nº 268228.,AUTORIZE - NEGATIVAS,TRATATIVA MIDDLEWARE,0
268308,SGOBVP,Requisição de Serviço,ORIZON,Softwares e Aplicativos,Apresenta mensagem de erro,BPO,BPO,Suporte Aplicação (Middleware),Fechado,01/13/2021 08:56,01/13/2021 09:06,18/01/2021 08:56,0,3,Já registramos o problema que está sendo verificado pela Equipe LEAN no chamado abaixo:\r\n \r\nLEAN 1872 | Inc: 268330 - Falha Indexação SGOBVP,BPO - BVP,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268330,Falha Indexação SGOBVP,Incidente,BRADESCO,Ocorrência,Falha Sistêmica,BPO,BPO,Suporte Aplicação (Middleware),Fechado,01/13/2021 10:36,01/13/2021 17:18,18/01/2021 10:36,0,3,"DIAGNÓSTICO:\r\n \r\nAÇÃO:\r\nOc: 31267 | Inc: 268330 - Falha Indexação SGOBVP\r\nLean encerrada pela conclusão com sucesso da Mudança 13613, em 29/01/2021.\r\n \r\nCAUSA:\r\nFunção do Botão usa Flash, o qual o navegador não dá mais suporte. (Internet Explorer).",BPO - BVP,AJUSTE DEV,0
268331,Chamado aberto e não resolvido,Requisição de Serviço,ORIZON,Solicitação de Informação,Dados de Tabelas,FATURE,PRODUTOS,Suporte Aplicação (Middleware),Fechado,01/13/2021 10:36,01/13/2021 14:48,18/01/2021 10:36,0,3,"Prezado, boa tarde!\r\n \r\nOrientamos acionar a área operacional/pós-venda, a fim de obter informações referente ao download da GRD mencionada.\r\nConforme informações desse chamado, o arquivo foi importado no ambiente de homologação, havendo a necessidade de acessar esse ambiente, localizar o arquivo e",FATURE - PORTAL,TRATATIVA MIDDLEWARE,0
268333,BRADESCO | Aplicação da regra 847 - Faturamento de fisioterapia não autorizado - OMNI 701003 Cap. Tiss,Requisição de Serviço,BRADESCO,Solicitação de Informação,Dados de Tabelas,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/13/2021 10:40,01/13/2021 14:28,18/01/2021 10:40,0,3,"Karina, Boa tarde!\r\n \r\no prestador esta tentando faturar uma quantidade maior que seu saldo permite.\r\n \r\nprotocolos:\r\n73171409,73640661,74494750,75892167",FATURE - REGRAS,TRATATIVA MIDDLEWARE,0
268337,BRADESCO | Aplicação da regra 847 - Faturamento de fisioterapia não autorizado - OMNI 679934,Incidente,BRADESCO,Ocorrência,Erro Conhecido,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/13/2021 11:06,01/13/2021 14:41,18/01/2021 11:06,0,3,DIAGNÓSTICO : saldo de faturamento assíncrono entre autorize e fature. Após ajuste o saldo do prestador foi liberado.\r\n \r\nAÇÃO: realizar parametrização sistêmica .\r\n \r\nCAUSA: Assíncrona no status do lote 76987199 entre as soluções autorize e fature,FATURE - REGRAS,TRATATIVA MIDDLEWARE,0
268361,SULAMERICA|384 - CÓDIGO DE BENEFICIARIO INVALIDO,Incidente,SULAMERICA,Ocorrência,Divergência de Funcionalidade,FATURE,BACKOFFICE PRESTADORES,Suporte Aplicação (Middleware),Fechado,01/13/2021 12:31,01/13/2021 14:36,18/01/2021 12:31,0,3,"DIAGNÓSTICO: Aplicação da regra 384.\r\n \r\nAÇÃO: Conforme análise, a carteirinha mencionada não consta em banco.\r\n \r\nCAUSA: Regra aplicada corretamente.",FATURE - REGRAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268365,BRADESCO | Regra 342 - Código de procedimento inválido.,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,FATURE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/13/2021 13:31,01/15/2021 11:11,18/01/2021 13:31,0,3,"DIAGNÓSTICO : Aplicação da regra 342\r\n \r\nAÇÃO: Conforme análise, o tipo de procedimento indicado em banco consta ""1"".\r\nO tipo de procedimento não pode ser cobrado na guia de consulta\r\n \r\nCAUSA: Regra aplicada corretamente.",FATURE - REGRAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
268369,BRADESCO SAÚDE OPERADORA DE PLANOS | N17 – PRESTADOR NÃO ATENDE A REDE DO BENEFICIARIO.,Incidente,BRADESCO,Ocorrência,Divergência de Funcionalidade,AUTORIZE,PÓS-VENDA,Suporte Aplicação (Middleware),Fechado,01/13/2021 14:13,01/18/2021 11:03,18/01/2021 14:13,0,3,"DIAGNÓSTICO : Analisando o debug, identificamos que no momento da realização da transação o prestador não podia atender a rede do usuário.\r\n                           Porém, após o processamento da carga do dia 07/01, essa questão foi corrigida e agora a negativa não deve ser aplicada neste caso",AUTORIZE - NEGATIVAS,INFORMAÇÕES/COMPREENSÃO DO PRODUTO,0
